이름,Pattern Type,해석
Long Days,기본 형태,"- 주로 꼬리보다 캔들의 몸통 길이가 큰 경우이다.
 

 - 하루 동안 시가와 종가의 차이가 크게 나는 형태이다(즉 몸통이 캔들차트에 비해 상당히 큰 것을 말한다)."
Short Days,기본 형태,"- Long Days와 대조적인 형태이다.
 

 - 하루 동안 시가와 종가의 차이가 적게 나는 형태이다(즉 몸통이 캔들차트에 비해 작거나 거의 없는 형태를 말한다)."
Spinning Tops,기본 형태,"- 몸통의 길이에 비해 꼬리의 길이가 상당히 긴 형태의 캔들이다.
 

 - 이러한 형태는 강세와 약세의 형세가 애매한 국면에서 매수세와 매도세가 팽팽한 눈치를 보일 때 나타난다.
 

 - 주로 추세 전환 국면이나 지지나 저항이 크게 작용하는 국면에서 나타난다."
Long-Legged Doji,기본 형태,"- Long-Legged Doji는 윗꼬리, 아랫꼬리가 길다.
 

 - 일간으로 보면 급등락을 거듭하는 뇌동 매매에서 흔히 발생한다.
 

 - 이 패턴은 독립적인 해석보다는 다음날 발생하는 캔들과 동시에 해석하면 좋다.
 

 - 이전 추세가 상승이었다면 하락 반전 될 가능성이 높고, 반대로 하락 추세였다면 상승 전환될 확률이 크다."
GraveStone Doji,기본 형태,"- 시가 이후에 강한 상승세를 보이다가 종가에 저가인 시가 수준으로 되밀려 마감하는 형태이다.
 

 - 이전 추세가 상승이었다면 하락 반전 될 가능성이 높고, 반대로 하락 추세였다면 상승 전환될 확률이 크다."
Dragon Fly Doji,기본 형태,"- 시가와 고가, 그리고 종가가 거의 비슷한 수준에서 결정되는 형태의 캔들이다.
 

 - 이전의 추세가 하락 국면이었다면 상승 전활될 가능성이 크고, 반대로 이전의 추세가 상승 국면이었다면 하락 전환될 가능성이 있다."
Four Price Doji,기본 형태,"- 시가, 고가, 저가, 종가가 같거나 거의 비슷한 수준에서 형성되는 형태의 캔들이다.
 

 - 거래량이 부진하고 발생확률도 크지 않다.
 

 - 이 패턴은 독립적인 해석보다는 다음날 발생하는 캔들과 동시에 해석해야 한다."
Star,기본 형태,"- 전날의 긴 몸통(장대 양봉 또는 장대 음봉)에 이어 자주 나타나는 유형이다.
 

 - 추세의 고점과 저점에 나타나는 대표적인 전환 패턴 중 하나이다.
 

 - 색깔은 그리 중요하지 않으며, 가끔 추세의 중간에 나타나 잠시 휴식을 가진 후 재차 이전의 추세로 주가가 진행되기도 한다."
Closing Marubozu,기본 형태,"- Long Days와 비슷하나 꼬리가 없다는 것이 차이점이다.
 

 - Closing Marubozu는 몸통의 종가에 꼬리를 가지고 있지 않은 형태이다.
 양봉이면 종가에 윗꼬리가 없고, 음봉이면 종가에 아랫꼬리가 없다.
 

 - 양봉은 강세 국면을, 음봉은 약세 국면을 나타낸다."
Opening Marubozu,기본 형태,"- Long Days와 비슷하나 꼬리가 없다는 것이 차이점이다.
 

 - 몸통의 시가에 꼬리를 가지고 있지 않은 형태이다.
 

 - 양봉이면 시가에 아랫꼬리를 가지고 있지 않고, 음봉이면 시가에 윗꼬리를 가지고 있지 않은 경우이다.
 

 - 일반적으로 Opening Marubozu보다 Closing Marubozu가 다음날 주가에 미치는 영향이 강하다."
